38,77,85,79,79,79,78,76,76,79,84,85,88,94,92,92,118,110,60,99,145,187,181,123,95,101,98,96,97,97,99,72,177,249,205,172,111,60,164,224,159,90,0,22,73,24,22,38,25,32
35,73,86,83,83,84,84,84,84,84,85,85,83,83,85,84,88,79,77,76,103,107,97,104,122,111,90,88,96,95,95,76,172,255,255,221,127,128,200,248,255,185,6,3,0,21,38,36,24,33
32,72,86,83,83,86,80,54,60,72,84,84,83,83,85,79,27,0,182,168,60,120,124,118,110,101,133,121,94,106,106,103,89,131,164,136,129,127,88,126,165,85,6,32,33,33,35,32,24,33
30,69,88,83,83,78,84,143,140,88,75,84,83,82,78,68,33,0,140,255,83,65,123,113,111,199,255,247,165,103,115,106,124,135,121,105,76,65,58,0,0,3,30,33,33,33,35,30,22,35
27,66,88,82,83,53,124,255,255,220,102,64,83,78,71,63,35,22,50,168,99,29,90,105,137,253,255,255,206,78,124,159,166,141,83,76,143,129,56,8,8,21,27,32,33,35,38,29,24,38
24,63,87,82,82,72,82,189,254,215,92,68,79,73,68,64,35,29,43,35,56,51,42,78,115,163,215,188,136,147,158,143,96,51,63,186,255,198,33,4,5,17,33,43,45,43,40,21,27,40
22,59,87,83,83,86,72,61,96,78,71,83,78,72,68,64,35,21,43,49,40,12,64,70,78,107,100,146,162,115,80,65,65,45,103,238,207,83,43,3,0,3,12,21,24,24,12,14,36,40
19,55,93,82,80,82,83,77,65,73,83,80,77,72,68,64,30,14,65,15,93,99,75,203,95,86,130,139,101,96,78,65,73,72,60,110,139,114,61,1,0,2,0,0,0,1,2,24,40,39
24,33,80,94,93,93,93,90,89,87,86,83,77,72,69,65,24,0,151,142,87,237,93,210,208,39,80,88,168,243,158,35,72,65,63,154,253,213,38,0,2,8,10,12,12,12,15,29,39,43
33,10,8,38,46,53,60,69,73,77,79,80,82,76,70,50,8,0,116,255,75,200,173,88,183,58,36,172,255,232,103,51,72,40,111,253,224,100,36,6,6,17,22,24,25,22,21,32,38,42
